,age,studytime,failures,score,medu_fedu_mean,mjob_at_home,mjob_health,mjob_other,mjob_services,mjob_teacher,higher_no,higher_yes,romantic_no,romantic_yes
41,15,1.0,0.0,60.0,4.0,0,0,0,0,1,0,1,1,0
42,15,2.0,0.0,90.0,3.0,0,0,0,1,0,0,1,1,0
43,15,1.0,0.0,55.0,2.0,0,0,0,1,0,0,1,1,0
44,16,2.0,1.0,45.0,2.0,0,0,1,0,0,0,1,1,0
45,15,2.0,0.0,30.0,4.0,0,0,1,0,0,0,1,0,1
46,16,2.0,0.0,55.0,2.0,0,0,1,0,0,0,1,1,0
47,16,4.0,0.0,100.0,4.0,0,1,0,0,0,0,1,1,0
48,15,2.0,0.0,70.0,3.0,0,0,0,0,1,0,1,1,0
49,15,2.0,1.0,35.0,4.0,0,0,0,1,0,0,1,1,0
50,16,2.0,0.0,65.0,2.0,0,0,0,1,0,0,1,1,0
51,15,2.0,0.0,65.0,3.0,0,1,0,0,0,0,1,1,0
52,15,1.0,1.0,50.0,3.0,0,1,0,0,0,0,1,1,0
53,15,1.0,0.0,55.0,4.0,0,0,0,1,0,0,1,1,0
54,15,1.0,0.0,65.0,3.0,0,0,1,0,0,0,1,1,0
55,16,2.0,0.0,50.0,2.0,0,0,1,0,0,0,1,0,1
56,15,2.0,0.0,75.0,4.0,0,0,0,1,0,0,1,1,0
57,15,2.0,0.0,75.0,3.0,0,0,0,0,1,0,1,1,0
58,15,2.0,0.0,45.0,2.0,0,0,1,0,0,0,1,1,0
59,16,2.0,0.0,80.0,3.0,0,0,1,0,0,0,1,1,0
60,16,2.0,0.0,55.0,4.0,0,1,0,0,0,0,1,1,0
61,16,1.0,0.0,55.0,1.0,0,0,0,1,0,0,1,0,1
62,16,2.0,0.0,45.0,2.0,0,0,1,0,0,0,1,1,0
63,16,3.0,0.0,45.0,4.0,0,0,0,0,1,0,1,1,0
64,15,2.0,0.0,50.0,4.0,0,0,0,1,0,0,1,0,1
65,16,2.0,0.0,75.0,4.0,0,0,0,0,1,0,1,1,0
66,15,4.0,0.0,60.0,4.0,0,0,1,0,0,0,1,0,1
67,16,4.0,0.0,30.0,2.0,0,0,0,1,0,0,1,1,0
68,15,2.0,0.0,40.0,2.0,0,1,0,0,0,0,1,1,0
69,15,4.0,0.0,80.0,2.0,0,0,1,0,0,0,1,1,0
70,16,4.0,0.0,75.0,2.0,0,0,1,0,0,0,1,1,0
71,15,4.0,0.0,50.0,3.0,0,0,1,0,0,0,1,1,0
72,15,2.0,2.0,25.0,1.0,0,0,1,0,0,0,1,0,1
73,16,1.0,0.0,70.0,2.0,0,0,1,0,0,0,1,1,0
74,16,2.0,0.0,55.0,3.0,0,0,1,0,0,0,1,1,0
75,15,2.0,0.0,50.0,4.0,0,0,0,0,1,0,1,1,0
76,15,4.0,0.0,50.0,2.0,0,0,0,0,1,0,1,1,0
77,16,4.0,0.0,55.0,2.0,0,0,1,0,0,0,1,0,1
78,17,1.0,3.0,50.0,2.0,0,0,1,0,0,1,0,1,0
79,16,2.0,0.0,25.0,4.0,1,0,0,0,0,0,1,1,0
80,15,1.0,0.0,60.0,2.0,0,0,1,0,0,0,1,0,1
81,15,3.0,0.0,55.0,2.0,0,0,1,0,0,0,1,1,0
82,15,2.0,0.0,30.0,2.0,0,0,0,1,0,0,1,1,0
83,15,2.0,0.0,75.0,2.0,0,0,0,1,0,0,1,1,0
84,15,2.0,0.0,50.0,1.0,0,0,1,0,0,0,1,1,0
85,15,2.0,2.0,40.0,4.0,0,0,0,1,0,0,1,0,1
86,16,2.0,0.0,30.0,2.0,1,0,0,0,0,0,1,1,0
87,15,3.0,0.0,70.0,3.0,0,0,1,0,0,0,1,1,0
88,16,2.0,1.0,50.0,2.0,0,0,1,0,0,0,1,1,0
89,16,2.0,0.0,35.0,4.0,0,0,0,0,1,0,1,1,0
90,16,3.0,0.0,40.0,3.0,0,0,1,0,0,0,1,0,1
91,15,2.0,0.0,90.0,4.0,0,0,0,1,0,0,1,1,0
92,16,2.0,0.0,30.0,2.0,0,0,1,0,0,0,1,1,0
93,16,2.0,0.0,50.0,3.0,0,0,0,0,1,0,1,1,0
94,15,4.0,0.0,70.0,2.0,0,0,0,1,0,0,1,1,0
95,15,4.0,1.0,50.0,1.0,1,0,0,0,0,0,1,1,0
96,16,1.0,0.0,75.0,4.0,0,0,0,1,0,0,1,1,0
97,16,2.0,0.0,50.0,2.0,0,0,1,0,0,0,1,0,1
98,16,1.0,0.0,70.0,4.0,0,0,1,0,0,0,1,1,0
99,16,3.0,0.0,40.0,4.0,0,0,1,0,0,0,1,1,0
100,16,1.0,0.0,25.0,4.0,0,0,0,1,0,0,1,1,0
101,16,3.0,0.0,85.0,4.0,0,0,0,1,0,0,1,0,1
102,15,1.0,0.0,70.0,4.0,0,0,0,1,0,0,1,1,0
103,15,2.0,0.0,30.0,2.0,0,0,0,1,0,0,1,1,0
104,15,2.0,0.0,90.0,4.0,0,0,1,0,0,0,1,1,0
105,15,4.0,0.0,55.0,3.0,0,0,1,0,0,0,1,1,0
106,15,4.0,0.0,40.0,2.0,0,0,1,0,0,0,1,1,0
107,16,3.0,0.0,90.0,3.0,0,0,0,1,0,0,1,1,0
108,15,4.0,0.0,65.0,4.0,0,0,1,0,0,0,1,0,1
109,16,3.0,0.0,80.0,4.0,0,1,0,0,0,0,1,0,1
110,15,1.0,0.0,95.0,4.0,0,0,0,0,1,0,1,1,0
111,16,3.0,1.0,50.0,3.0,0,0,0,1,0,0,1,1,0
112,16,2.0,1.0,65.0,2.0,1,0,0,0,0,0,1,1,0
113,15,1.0,0.0,95.0,3.0,0,0,0,0,1,0,1,1,0
114,15,2.0,0.0,45.0,2.0,0,1,0,0,0,0,1,0,1
115,16,2.0,0.0,80.0,4.0,0,0,0,0,1,0,1,1,0
116,15,2.0,0.0,70.0,4.0,0,0,1,0,0,0,1,1,0
117,16,1.0,0.0,65.0,3.0,0,0,1,0,0,0,1,1,0
118,17,2.0,1.0,40.0,2.0,0,0,1,0,0,0,1,1,0
119,15,1.0,0.0,65.0,4.0,0,0,1,0,0,0,1,1,0
120,15,2.0,0.0,75.0,2.0,1,0,0,0,0,0,1,1,0
121,15,4.0,0.0,75.0,2.0,0,0,0,1,0,0,1,1,0
122,16,2.0,0.0,65.0,3.0,0,0,1,0,0,0,1,0,1
123,16,1.0,0.0,65.0,4.0,0,1,0,0,0,0,1,1,0
124,16,2.0,0.0,40.0,2.0,0,0,1,0,0,0,1,0,1
125,15,1.0,0.0,60.0,4.0,0,0,0,1,0,0,1,1,0
126,15,2.0,0.0,55.0,4.0,0,0,1,0,0,0,1,0,1
127,19,2.0,3.0,45.0,0.0,1,0,0,0,0,1,0,1,0
128,18,1.0,2.0,0.0,2.0,0,0,1,0,0,0,1,1,0
129,16,2.0,0.0,90.0,4.0,0,0,0,0,1,0,1,1,0
130,15,3.0,2.0,0.0,4.0,0,0,0,1,0,0,1,0,1
131,15,1.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,1
132,17,1.0,0.0,60.0,2.0,0,0,1,0,0,0,1,0,1
133,16,1.0,0.0,55.0,4.0,0,0,0,1,0,0,1,1,0
134,15,2.0,0.0,0.0,4.0,1,0,0,0,0,0,1,0,1
135,15,3.0,0.0,0.0,4.0,0,0,0,1,0,0,1,0,1
136,17,2.0,0.0,0.0,4.0,1,0,0,0,0,0,1,1,0
137,16,1.0,2.0,0.0,2.0,0,0,1,0,0,0,1,0,1
138,16,2.0,1.0,60.0,1.0,0,0,0,1,0,0,1,0,1
139,15,1.0,0.0,75.0,4.0,0,0,0,0,1,0,1,1,0
140,15,4.0,0.0,0.0,4.0,0,0,0,0,1,0,1,1,0
141,16,1.0,2.0,45.0,2.0,0,0,0,1,0,0,1,1,0
142,15,3.0,0.0,55.0,3.0,0,0,0,0,1,0,1,1,0
143,16,1.0,0.0,65.0,1.0,1,0,0,0,0,0,1,1,0
144,17,1.0,3.0,0.0,2.0,0,0,1,0,0,0,1,1,0
145,15,2.0,0.0,55.0,1.0,0,0,1,0,0,0,1,1,0
146,15,2.0,3.0,0.0,2.0,0,1,0,0,0,0,1,1,0
147,15,2.0,0.0,55.0,2.0,1,0,0,0,0,0,1,1,0
148,16,1.0,0.0,0.0,4.0,0,0,0,0,1,1,0,0,1
149,15,1.0,3.0,50.0,2.0,0,0,0,1,0,0,1,1,0
150,18,1.0,3.0,0.0,1.0,0,0,1,0,0,1,0,0,1
151,16,1.0,1.0,70.0,2.0,1,0,0,0,0,0,1,0,1
152,15,3.0,2.0,50.0,3.0,0,0,0,1,0,0,1,0,1
153,19,1.0,0.0,0.0,2.0,0,0,0,1,0,1,0,0,1
154,17,1.0,0.0,60.0,4.0,0,0,1,0,0,0,1,0,1
155,15,2.0,0.0,40.0,2.0,1,0,0,0,0,0,1,1,0
156,17,1.0,0.0,65.0,2.0,0,0,1,0,0,0,1,1,0
157,18,1.0,3.0,50.0,1.0,1,0,0,0,0,0,1,1,0
158,16,1.0,0.0,75.0,2.0,1,0,0,0,0,0,1,1,0
159,16,2.0,1.0,60.0,2.0,0,0,1,0,0,0,1,0,1
160,17,1.0,2.0,0.0,2.0,1,0,0,0,0,1,0,0,1
161,15,2.0,2.0,35.0,2.0,0,0,1,0,0,0,1,0,1
162,16,1.0,1.0,0.0,2.0,0,0,1,0,0,0,1,1,0
163,17,1.0,0.0,50.0,2.0,1,0,0,0,0,1,0,1,0
164,17,2.0,3.0,35.0,1.0,0,0,1,0,0,1,0,0,1
165,16,1.0,1.0,60.0,2.0,0,0,0,1,0,1,0,1,0
166,16,2.0,0.0,50.0,2.0,0,0,1,0,0,1,0,1,0
167,16,2.0,0.0,80.0,3.0,0,1,0,0,0,0,1,0,1
168,16,2.0,0.0,0.0,2.0,0,0,1,0,0,0,1,1,0
169,16,2.0,0.0,70.0,4.0,0,1,0,0,0,0,1,0,1
170,16,1.0,0.0,0.0,4.0,0,0,1,0,0,0,1,1,0
171,16,2.0,0.0,80.0,0.0,0,0,1,0,0,0,1,0,1
172,17,2.0,0.0,50.0,4.0,0,0,0,0,1,0,1,1,0
173,16,2.0,3.0,0.0,2.0,1,0,0,0,0,0,1,0,1
174,16,2.0,0.0,45.0,3.0,0,0,1,0,0,0,1,1,0
175,17,2.0,0.0,45.0,4.0,0,0,0,0,1,0,1,1,0
176,16,2.0,0.0,55.0,2.0,0,0,0,1,0,0,1,1,0
177,17,2.0,0.0,30.0,3.0,0,0,1,0,0,0,1,1,0
178,16,1.0,0.0,45.0,3.0,0,0,0,0,1,0,1,0,1
179,17,2.0,0.0,55.0,4.0,0,0,1,0,0,0,1,0,1
180,16,2.0,0.0,40.0,3.0,0,0,0,0,1,0,1,1,0
181,16,2.0,0.0,60.0,3.0,0,0,0,1,0,0,1,1,0
182,17,2.0,0.0,85.0,3.0,0,0,0,1,0,0,1,1,0
183,17,2.0,0.0,40.0,3.0,0,0,1,0,0,0,1,0,1
184,16,2.0,0.0,60.0,2.0,0,0,1,0,0,0,1,1,0
185,17,2.0,0.0,55.0,3.0,0,0,0,1,0,0,1,0,1
186,16,1.0,0.0,55.0,2.0,0,0,0,1,0,0,1,0,1
187,16,2.0,0.0,75.0,2.0,0,0,1,0,0,0,1,0,1
188,17,2.0,0.0,45.0,3.0,0,1,0,0,0,0,1,0,1
189,17,2.0,0.0,50.0,2.0,1,0,0,0,0,0,1,1,0
190,16,2.0,0.0,65.0,2.0,0,0,0,1,0,0,1,1,0
191,17,2.0,0.0,45.0,1.0,1,0,0,0,0,0,1,1,0
192,17,2.0,0.0,40.0,2.0,1,0,0,0,0,0,1,1,0
193,16,1.0,0.0,50.0,3.0,0,0,0,1,0,0,1,1,0
194,16,1.0,0.0,70.0,2.0,0,0,1,0,0,0,1,1,0
195,17,2.0,0.0,75.0,2.0,0,0,0,1,0,0,1,0,1
196,17,1.0,0.0,80.0,4.0,0,0,0,1,0,0,1,1,0
197,16,1.0,0.0,50.0,3.0,0,0,0,0,1,0,1,1,0
198,17,1.0,1.0,90.0,4.0,0,0,0,1,0,0,1,1,0
199,16,2.0,0.0,50.0,4.0,0,0,0,0,1,0,1,1,0
200,16,2.0,0.0,80.0,4.0,0,1,0,0,0,0,1,1,0
202,17,2.0,0.0,50.0,1.0,0,0,1,0,0,0,1,1,0
203,17,1.0,0.0,30.0,2.0,0,0,1,0,0,0,1,1,0
204,16,4.0,0.0,55.0,2.0,0,0,0,1,0,0,1,1,0
205,17,3.0,1.0,45.0,4.0,1,0,0,0,0,0,1,0,1
206,16,2.0,3.0,35.0,2.0,0,0,0,1,0,0,1,1,0
207,16,2.0,0.0,65.0,4.0,0,0,0,0,1,0,1,0,1
208,16,1.0,0.0,50.0,1.0,1,0,0,0,0,0,1,1,0
209,17,3.0,0.0,35.0,4.0,0,0,0,0,1,0,1,0,1
210,19,4.0,0.0,40.0,3.0,0,0,1,0,0,0,1,1,0
211,17,2.0,0.0,65.0,4.0,0,0,0,1,0,0,1,0,1
212,16,2.0,0.0,70.0,2.0,0,0,1,0,0,0,1,1,0
213,18,2.0,1.0,40.0,2.0,0,0,0,1,0,0,1,1,0
214,17,1.0,0.0,50.0,4.0,0,0,0,1,0,0,1,1,0
215,17,2.0,0.0,75.0,2.0,0,0,1,0,0,0,1,1,0
216,17,2.0,2.0,20.0,4.0,0,0,1,0,0,0,1,0,1
217,18,2.0,1.0,40.0,3.0,0,0,0,1,0,0,1,1,0
218,17,1.0,0.0,40.0,2.0,1,0,0,0,0,0,1,1,0
219,17,3.0,0.0,50.0,2.0,0,0,1,0,0,0,1,1,0
220,17,2.0,0.0,30.0,2.0,1,0,0,0,0,0,1,1,0
221,17,3.0,1.0,0.0,1.0,1,0,0,0,0,0,1,0,1
222,16,2.0,0.0,85.0,2.0,0,0,0,1,0,0,1,1,0
223,18,2.0,0.0,65.0,2.0,0,0,1,0,0,0,1,1,0
224,16,3.0,0.0,70.0,4.0,0,0,1,0,0,0,1,1,0
225,18,2.0,1.0,35.0,2.0,0,0,1,0,0,0,1,0,1
226,17,2.0,0.0,75.0,2.0,0,0,1,0,0,0,1,1,0
227,17,2.0,0.0,60.0,2.0,0,0,0,1,0,0,1,1,0
228,18,2.0,0.0,45.0,2.0,1,0,0,0,0,0,1,0,1
229,17,3.0,0.0,60.0,2.0,0,0,1,0,0,0,1,0,1
230,17,2.0,0.0,70.0,4.0,0,1,0,0,0,0,1,0,1
231,17,2.0,0.0,55.0,2.0,0,0,1,0,0,0,1,1,0
232,17,2.0,0.0,45.0,3.0,0,0,0,0,1,0,1,0,1
233,16,2.0,0.0,65.0,4.0,0,1,0,0,0,0,1,1,0
234,16,2.0,0.0,30.0,1.0,0,0,1,0,0,0,1,1,0
235,16,3.0,0.0,50.0,2.0,1,0,0,0,0,0,1,0,1
236,17,2.0,0.0,65.0,2.0,0,0,1,0,0,0,1,0,1
237,16,1.0,0.0,60.0,2.0,0,0,1,0,0,0,1,0,1
238,17,2.0,0.0,55.0,2.0,1,0,0,0,0,0,1,1,0
239,18,2.0,1.0,0.0,2.0,0,0,1,0,0,1,0,0,1
240,17,2.0,0.0,60.0,4.0,0,1,0,0,0,0,1,0,1
241,17,2.0,0.0,60.0,4.0,0,0,0,0,1,0,1,1,0
242,16,1.0,0.0,0.0,4.0,0,0,0,0,1,0,1,1,0
243,16,1.0,0.0,60.0,4.0,0,0,0,1,0,0,1,1,0
245,16,1.0,0.0,90.0,2.0,0,0,1,0,0,0,1,1,0
246,17,1.0,0.0,65.0,2.0,0,0,1,0,0,0,1,1,0
247,22,1.0,3.0,40.0,2.0,0,0,0,1,0,1,0,0,1
248,18,2.0,1.0,25.0,3.0,0,0,1,0,0,0,1,0,1
249,16,1.0,0.0,75.0,1.0,0,0,1,0,0,0,1,1,0
250,18,1.0,1.0,40.0,2.0,0,0,0,1,0,0,1,1,0
251,16,2.0,0.0,50.0,3.0,1,0,0,0,0,0,1,1,0
252,18,1.0,1.0,40.0,2.0,0,0,0,1,0,1,0,1,0
253,16,1.0,0.0,40.0,2.0,0,0,1,0,0,0,1,1,0
254,17,1.0,0.0,60.0,2.0,0,0,1,0,0,0,1,1,0
255,17,1.0,1.0,40.0,1.0,0,1,0,0,0,0,1,1,0
256,17,4.0,0.0,65.0,3.0,0,0,0,0,1,0,1,1,0
257,19,2.0,0.0,55.0,4.0,0,0,0,1,0,0,1,1,0
258,18,2.0,0.0,70.0,2.0,0,0,1,0,0,0,1,1,0
259,17,4.0,0.0,0.0,2.0,0,0,0,1,0,0,1,0,1
260,18,2.0,0.0,90.0,4.0,0,0,1,0,0,0,1,0,1
261,18,2.0,0.0,40.0,4.0,0,0,0,0,1,0,1,0,1
262,18,3.0,0.0,60.0,2.0,0,0,1,0,0,0,1,1,0
263,17,3.0,0.0,45.0,3.0,0,0,1,0,0,0,1,1,0
264,18,3.0,0.0,0.0,2.0,1,0,0,0,0,0,1,0,1
265,18,2.0,0.0,85.0,4.0,0,0,1,0,0,0,1,1,0
266,17,2.0,0.0,50.0,2.0,0,0,0,1,0,0,1,1,0
267,18,2.0,0.0,55.0,4.0,0,0,0,0,1,0,1,1,0
268,18,2.0,0.0,50.0,3.0,0,0,1,0,0,0,1,0,1
269,18,2.0,0.0,0.0,2.0,0,0,1,0,0,1,0,0,1
271,18,4.0,0.0,70.0,2.0,0,0,1,0,0,0,1,0,1
272,18,2.0,0.0,55.0,1.0,0,0,1,0,0,0,1,1,0
273,17,2.0,0.0,70.0,2.0,1,0,0,0,0,0,1,0,1
274,17,2.0,0.0,50.0,3.0,1,0,0,0,0,0,1,0,1
275,17,2.0,0.0,60.0,2.0,0,0,0,1,0,0,1,0,1
276,18,2.0,0.0,45.0,2.0,0,0,1,0,0,1,0,0,1
277,18,1.0,0.0,45.0,4.0,0,0,1,0,0,0,1,1,0
278,18,2.0,1.0,40.0,4.0,0,1,0,0,0,0,1,0,1
279,18,1.0,0.0,50.0,4.0,0,0,0,0,1,0,1,1,0
280,17,1.0,0.0,40.0,3.0,0,0,0,1,0,0,1,1,0
281,17,1.0,1.0,50.0,2.0,0,0,0,0,1,0,1,1,0
282,18,4.0,0.0,60.0,1.0,1,0,0,0,0,0,1,1,0
284,17,2.0,0.0,55.0,2.0,0,0,1,0,0,0,1,1,0
285,17,2.0,0.0,55.0,1.0,0,0,1,0,0,0,1,1,0
286,18,3.0,0.0,95.0,2.0,1,0,0,0,0,0,1,1,0
287,17,3.0,0.0,60.0,2.0,0,0,0,1,0,0,1,1,0
288,18,3.0,0.0,70.0,2.0,0,0,0,1,0,0,1,1,0
289,18,2.0,0.0,75.0,4.0,0,0,0,0,1,0,1,1,0
290,18,2.0,0.0,55.0,3.0,0,0,0,0,1,0,1,0,1
291,17,3.0,0.0,75.0,4.0,0,0,1,0,0,0,1,1,0
292,18,2.0,1.0,65.0,2.0,0,0,0,1,0,0,1,0,1
293,17,4.0,0.0,90.0,2.0,0,0,0,1,0,0,1,1,0
294,18,3.0,0.0,70.0,2.0,0,0,0,1,0,0,1,1,0
295,17,1.0,0.0,55.0,3.0,0,1,0,0,0,0,1,1,0
296,19,2.0,0.0,0.0,4.0,0,1,0,0,0,0,1,1,0
297,18,2.0,0.0,40.0,4.0,0,0,1,0,0,0,1,0,1
298,18,4.0,0.0,70.0,4.0,0,0,1,0,0,0,1,1,0
299,18,1.0,0.0,80.0,4.0,0,0,0,0,1,0,1,0,1
300,18,2.0,0.0,55.0,4.0,0,1,0,0,0,0,1,0,1
301,17,1.0,0.0,50.0,4.0,0,0,1,0,0,0,1,1,0
302,17,3.0,0.0,70.0,3.0,0,0,1,0,0,0,1,1,0
303,17,4.0,0.0,90.0,2.0,0,1,0,0,0,0,1,1,0
304,19,2.0,1.0,65.0,3.0,0,0,1,0,0,0,1,0,1
305,18,2.0,1.0,60.0,3.0,0,0,0,1,0,0,1,1,0
306,20,1.0,0.0,90.0,2.0,0,0,0,1,0,0,1,1,0
307,19,1.0,1.0,40.0,4.0,0,0,0,0,1,0,1,0,1
308,19,2.0,1.0,60.0,3.0,0,0,1,0,0,0,1,0,1
309,19,2.0,1.0,50.0,1.0,1,0,0,0,0,0,1,1,0
310,19,2.0,1.0,0.0,2.0,0,0,0,1,0,0,1,0,1
311,19,2.0,0.0,65.0,2.0,1,0,0,0,0,1,0,0,1
313,19,2.0,0.0,55.0,2.0,0,0,0,1,0,0,1,0,1
314,19,2.0,2.0,65.0,1.0,1,0,0,0,0,0,1,0,1
315,19,3.0,1.0,55.0,2.0,0,0,1,0,0,0,1,0,1
316,18,2.0,0.0,0.0,2.0,0,0,0,1,0,0,1,1,0
317,18,3.0,0.0,45.0,4.0,0,0,1,0,0,0,1,0,1
318,17,3.0,0.0,50.0,4.0,1,0,0,0,0,0,1,1,0
319,18,2.0,0.0,55.0,4.0,0,0,0,0,1,0,1,1,0
320,17,2.0,0.0,65.0,4.0,0,0,0,1,0,0,1,0,1
321,17,2.0,0.0,45.0,2.0,0,0,1,0,0,0,1,0,1
322,17,3.0,0.0,55.0,2.0,0,0,0,1,0,0,1,1,0
323,17,3.0,0.0,75.0,2.0,0,0,0,1,0,0,1,1,0
324,17,3.0,0.0,75.0,1.0,1,0,0,0,0,0,1,1,0
325,18,3.0,0.0,55.0,4.0,0,0,1,0,0,0,1,1,0
326,17,1.0,0.0,80.0,3.0,0,0,1,0,0,0,1,1,0
327,17,1.0,0.0,50.0,2.0,0,0,0,1,0,0,1,1,0
328,17,3.0,0.0,45.0,3.0,0,0,0,0,1,0,1,1,0
329,17,3.0,0.0,70.0,4.0,0,0,0,0,1,0,1,0,1
330,18,4.0,0.0,40.0,2.0,0,0,1,0,0,0,1,0,1
331,17,3.0,0.0,70.0,3.0,1,0,0,0,0,0,1,0,1
332,18,2.0,0.0,0.0,3.0,0,0,0,1,0,0,1,1,0
333,18,2.0,0.0,0.0,2.0,0,0,1,0,0,0,1,0,1
334,18,4.0,0.0,0.0,2.0,1,0,0,0,0,0,1,1,0
335,17,3.0,0.0,75.0,4.0,0,0,0,1,0,0,1,1,0
336,19,3.0,1.0,65.0,2.0,0,0,0,1,0,0,1,1,0
337,17,2.0,0.0,0.0,2.0,0,0,1,0,0,0,1,0,1
338,18,4.0,0.0,85.0,3.0,0,0,0,1,0,0,1,1,0
339,17,2.0,0.0,50.0,2.0,0,0,1,0,0,0,1,1,0
340,19,3.0,1.0,55.0,2.0,0,0,0,1,0,0,1,0,1
341,18,2.0,1.0,0.0,4.0,0,0,0,0,1,0,1,1,0
342,18,2.0,0.0,75.0,4.0,0,0,0,1,0,0,1,0,1
343,17,2.0,1.0,0.0,2.0,1,0,0,0,0,0,1,0,1
344,18,3.0,0.0,50.0,2.0,1,0,0,0,0,0,1,1,0
345,18,3.0,0.0,70.0,2.0,0,0,1,0,0,0,1,0,1
346,18,3.0,0.0,80.0,4.0,0,0,0,0,1,0,1,0,1
347,18,3.0,0.0,45.0,4.0,0,0,0,0,1,0,1,0,1
348,17,3.0,0.0,75.0,4.0,0,1,0,0,0,0,1,0,1
349,18,1.0,1.0,65.0,2.0,0,0,1,0,0,0,1,1,0
351,17,2.0,0.0,65.0,3.0,0,1,0,0,0,0,1,1,0
352,18,1.0,1.0,40.0,2.0,1,0,0,0,0,1,0,0,1
353,19,1.0,1.0,40.0,1.0,0,0,1,0,0,0,1,1,0
354,17,2.0,0.0,55.0,4.0,0,0,0,1,0,0,1,0,1
355,18,2.0,0.0,45.0,3.0,0,0,0,1,0,0,1,0,1
356,17,2.0,0.0,65.0,4.0,0,0,0,0,1,0,1,1,0
357,17,2.0,0.0,55.0,2.0,0,0,0,1,0,0,1,0,1
358,18,1.0,0.0,50.0,1.0,0,0,1,0,0,0,1,0,1
359,18,3.0,0.0,80.0,1.0,1,0,0,0,0,0,1,1,0
360,18,2.0,0.0,65.0,2.0,1,0,0,0,0,0,1,0,1
361,18,2.0,1.0,60.0,1.0,1,0,0,0,0,1,0,1,0
362,18,2.0,0.0,50.0,3.0,0,0,0,1,0,0,1,0,1
363,17,2.0,0.0,75.0,4.0,1,0,0,0,0,0,1,0,1
364,17,2.0,0.0,60.0,2.0,0,0,1,0,0,0,1,1,0
365,18,2.0,0.0,50.0,2.0,1,0,0,0,0,0,1,1,0
366,18,3.0,0.0,65.0,4.0,0,0,0,0,1,0,1,0,1
367,17,1.0,1.0,0.0,1.0,0,0,1,0,0,0,1,0,1
368,18,1.0,0.0,50.0,2.0,1,0,0,0,0,0,1,0,1
369,18,2.0,0.0,55.0,4.0,0,0,1,0,0,0,1,0,1
